Time,Area,Round,Category
10,10.848,0.899,1
10,17.334,0.894,1
10,17.479,0.842,1
10,10.694,0.972,1
10,22.218,0.38,1
10,8.686,0.832,1
10,10.482,0.947,1
10,23.241,0.521,1
10,10.414,0.802,1
10,6.824,0.983,1
10,13.319,0.92,1
10,7.702,0.981,1
10,12.422,0.942,1
10,11.949,0.941,1
10,5.907,0.808,1
10,5,0.818,1
10,17.296,0.959,1
10,15.896,0.863,1
10,12.605,0.93,1
10,12.634,0.659,1
10,11.939,0.834,1
10,12.866,0.843,1
10,15.616,0.928,1
10,7.576,0.98,1
10,10.115,0.893,1
10,13.503,0.874,1
10,10.916,0.865,1
10,11.736,0.962,1
10,10.848,0.824,1
10,6.447,0.887,1
10,28.395,0.34,1
10,16.311,0.644,1
10,10.819,0.897,1
10,27.295,0.319,1
10,22.681,0.419,1
10,20.567,0.687,1
10,8.667,0.409,1
10,9.661,0.864,1
10,6.563,0.948,1
10,11.35,0.921,1
10,13.242,0.957,1
10,12.846,0.883,1
10,13.435,0.925,1
10,12.981,0.954,1
10,15.684,0.826,1
10,11.061,0.92,1
10,10.983,0.961,1
10,17.016,0.985,1
10,9.439,0.882,1
10,18.695,0.913,1
10,9.758,0.868,1
10,4.922,0.733,1
10,5.772,0.766,1
10,11.099,0.787,1
10,22.266,0.33,1
10,10.462,0.895,1
10,5.907,0.876,1
10,11.823,0.866,1
10,6.717,0.875,1
10,18.184,0.822,1
10,12.837,0.92,1
10,12.277,0.759,1
10,12.904,0.862,1
10,20.732,0.807,1
10,13.869,0.643,1
10,35.827,0.364,0
10,24.496,0.427,0
10,18.956,0.895,0
10,10.916,0.891,0
10,16.726,0.894,0
10,34.9,0.913,0
10,24.631,0.376,0
10,5.55,0.807,0
10,17.122,0.91,0
10,26.474,0.319,0
10,13.3,0.902,0
10,45.575,0.329,0
10,26.532,0.442,0
10,13.242,0.932,0
10,16.533,0.483,0
10,18.203,0.597,0
12,24.361,0.525,1
12,9.874,0.809,1
12,8.619,0.815,1
12,12.885,0.902,1
12,13.995,0.22,1
12,15.037,0.902,1
12,12.798,0.89,1
12,10.289,0.782,1
12,15.684,0.831,1
12,14.699,0.87,1
12,13.84,0.893,1
12,14.95,0.876,1
12,11.099,0.847,1
12,9.787,0.853,1
12,11.736,0.924,1
12,12.856,0.849,1
12,16.784,0.943,1
12,30.595,0.319,1
12,12.489,0.773,1
12,14.854,0.934,1
12,15.481,0.795,1
12,19.496,0.86,1
12,6.438,0.938,1
12,7.914,0.869,1
12,39.697,0.34,0
12,20.577,0.256,0
12,20.355,0.156,0
12,12.952,0.405,0
12,48.991,0.273,0
12,7.441,0.669,0
12,21.455,0.431,0
12,29.254,0.883,0
12,24.708,0.334,0
12,22.739,0.66,0
12,16.871,0.275,0
12,8.58,0.865,0
12,100.666,0.171,0
14,9.912,0.927,1
14,9.709,0.963,1
14,8.493,0.866,1
14,8.947,0.988,1
14,10.395,0.853,1
14,12.007,0.82,1
14,23.308,0.515,1
14,11.794,0.916,1
14,9.294,0.903,1
14,9.632,0.886,1
14,5.453,0.908,1
14,5.916,0.821,1
14,8.619,0.901,1
14,16.659,0.336,1
14,8.879,0.889,1
14,11.418,0.877,1
14,13.348,0.99,1
14,10.945,0.893,1
14,14.487,0.816,1
14,20.365,0.433,1
14,8.879,0.88,1
14,9.7,0.84,1
14,10.926,0.842,1
14,11.244,0.8,1
14,11.167,0.702,1
14,10.076,0.879,1
14,31.783,0.166,0
14,6.824,0.722,0
14,35.247,0.31,0
14,45.912,0.562,0
14,26.802,0.814,0
